,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds
11,draftkings,Marquette,17.64705882352942,-9.411764705882355,0.7549019607843137,1.875,-500,Villanova,17.64705882352942,0.24509803921568626,-1.875,380
24,fanduel,UCLA,17.482287032460036,17.482287032460036,0.7958477508650519,-1.13623046875,-210,Washington,-44.470588235294116,0.2041522491349481,1.13623046875,172
44,fanduel,Minnesota,17.16563863397021,-47.183391003460194,0.18339100346020762,1.4295654296875,188,Oregon,17.16563863397021,0.8166089965397924,-1.4295654296875,-230
6,fanduel,Kent St.,17.00564971751411,17.00564971751411,0.6333333333333333,19.751953125,-118,Ohio,-27.385620915032682,0.36666666666666664,-19.751953125,-102
30,draftkings,Pittsburgh,16.24065185846635,16.24065185846635,0.8788927335640139,-24.0,-310,Syracuse,-57.61245674740485,0.12110726643598616,24.0,250
7,draftkings,Kent St.,16.111111111111107,16.111111111111107,0.6333333333333333,19.751953125,-120,Ohio,-26.666666666666664,0.36666666666666664,-19.751953125,100
25,draftkings,UCLA,16.09155264912225,16.09155264912225,0.7958477508650519,-1.13623046875,-218,Washington,-42.83737024221453,0.2041522491349481,1.13623046875,180
48,fanduel,Clemson,15.853658536585371,15.853658536585371,0.9313725490196079,-23.736648559570312,-410,Virginia Tech,-71.51960784313725,0.06862745098039216,23.736648559570312,315
47,fanduel,Duke,14.488636363636367,14.488636363636367,0.96875,-19.625,-550,Wake Forest,-84.375,0.03125,19.625,400
56,fanduel,Saint Mary's (CA),13.025335320417284,13.025335320417284,0.7770491803278688,-34.18317794799805,-220,Washington St.,-37.57377049180327,0.22295081967213115,34.18317794799805,180
13,draftkings,Mercyhurst,12.35795454545454,12.35795454545454,0.5885416666666666,-13.494476318359371,-110,Wagner,-21.448863636363647,0.4114583333333333,13.494476318359371,-110
12,fanduel,Mercyhurst,12.35795454545454,12.35795454545454,0.5885416666666666,-13.494476318359371,-110,Wagner,-21.448863636363647,0.4114583333333333,13.494476318359371,-110
59,fanduel,Arkansas,11.862301481678642,11.862301481678642,0.6816608996539792,-1.6875,-156,Oklahoma,-26.782006920415235,0.31833910034602075,1.6875,130
63,fanduel,Nevada,11.52340425531915,-17.93780687397708,0.46382978723404256,17.25,-130,San Diego St.,11.52340425531915,0.5361702127659574,-17.25,108
1,draftkings,Bowling Green,10.933333333333337,10.933333333333337,0.49523809523809526,-8.908933639526367,124,Toledo,-15.418275418275421,0.5047619047619047,8.908933639526367,-148
10,fanduel,Marquette,10.294117647058826,-8.275353152013498,0.7549019607843137,1.875,-465,Villanova,10.294117647058826,0.24509803921568626,-1.875,350
31,fanduel,Mississippi St.,9.729030501089323,9.729030501089323,0.7881944444444444,5.714141845703118,-255,South Carolina,-35.39930555555556,0.21180555555555555,-5.714141845703118,205
17,draftkings,Dayton,8.768382352941188,-9.926470588235286,0.6433823529411765,29.5074462890625,-250,Saint Joseph's,8.768382352941188,0.35661764705882354,-29.5074462890625,205
0,fanduel,Bowling Green,7.961904761904769,7.961904761904769,0.49523809523809526,-8.908933639526367,118,Toledo,-13.977196512407787,0.5047619047619047,8.908933639526367,-142
61,draftkings,Auburn,7.741903363122656,7.741903363122656,0.7923875432525952,-14.389129638671875,-278,Tennessee,-32.525951557093435,0.20761245674740483,14.389129638671875,225
60,fanduel,Auburn,4.79964281727872,4.79964281727872,0.7923875432525952,-14.389129638671875,-310,Tennessee,-28.373702422145335,0.20761245674740483,14.389129638671875,245
51,fanduel,Oregon St.,3.5204991087344055,3.5204991087344055,0.6601307189542484,12.371356010437012,-176,Santa Clara,-16.39215686274509,0.33986928104575165,-12.371356010437012,146
16,fanduel,Dayton,3.4191176470588402,-8.283792240300368,0.6433823529411765,29.5074462890625,-235,Saint Joseph's,3.4191176470588402,0.35661764705882354,-29.5074462890625,190
27,draftkings,NC State,2.1328671328671334,2.1328671328671334,0.44405594405594406,6.9675445556640625,130,SMU,-8.5382359575908,0.5559440559440559,-6.9675445556640625,-155
64,fanduel,BYU,2.0,-7.738095238095241,0.625,-12.521186828613281,-210,Cincinnati,2.0,0.375,12.521186828613281,172
50,fanduel,Missouri,1.5224913494809655,1.5224913494809655,0.5640138408304498,-9.089805603027344,-125,Ole Miss,-11.058823529411761,0.4359861591695502,9.089805603027344,104
20,fanduel,Iowa,0.8986928104575185,0.8986928104575185,0.6209150326797386,-22.687824249267578,-160,Penn St.,-12.052287581699346,0.3790849673202614,22.687824249267578,132
26,fanduel,NC State,0.06993006993006645,-9.412587412587413,0.44405594405594406,6.9675445556640625,104,SMU,0.06993006993006645,0.5559440559440559,-6.9675445556640625,-125
62,fanduel,California,-1.5462384775498172,-1.5462384775498172,0.7288135593220338,7.748046875,-285,Miami (OH),-10.50847457627119,0.2711864406779661,-7.748046875,230
35,fanduel,Arizona St.,-1.7468805704099761,-15.686274509803908,0.16862745098039217,32.60577392578125,400,Iowa St.,-1.7468805704099761,0.8313725490196079,-32.60577392578125,-550
21,draftkings,Iowa,-3.4132171387073313,-3.4132171387073313,0.6209150326797386,-22.687824249267578,-180,Penn St.,-5.228758169934643,0.3790849673202614,22.687824249267578,150
32,fanduel,Creighton,-3.940792003075745,-3.940792003075745,0.9100346020761245,-19.383378982543945,-1800,Seton Hall,-8.235294117647044,0.08996539792387544,19.383378982543945,920
