,year,team,nickname
395,2025,La Roche,Redhawks
396,2025,La Salle,Explorers
397,2025,La Verne,"Leopards, Leos"
398,2025,Lafayette,Leopards
399,2025,LaGrange,Panthers
400,2025,Lake Erie,Storm
401,2025,Lake Forest,Foresters
402,2025,Lake Superior St.,Lakers
403,2025,Lakeland,Muskies
404,2025,Lamar,Cardinals
405,2025,Lancaster Bible,Chargers
406,2025,Lander,Bearcats
407,2025,Lane,Dragons
408,2025,Lasell,Lasers
409,2025,Lawrence,Vikings
410,2025,Le Moyne,Dolphins
411,2025,Lebanon Valley,Flying Dutchmen
412,2025,Lee ,Flames
413,2025,Lees-McRae,Bobcats
414,2025,Lehigh,Mountain Hawks
415,2025,Lehman,Lightning
416,2025,LeMoyne-Owen,Magicians
417,2025,Lenoir-Rhyne,Bears
418,2025,Lesley,Lynx
419,2025,LeTourneau,YellowJackets
420,2025,Lewis,Flyers
421,2025,Lewis & Clark,Pioneers
422,2025,Liberty,Flames
423,2025,Limestone,Saints
424,2025,Lincoln Memorial,Railsplitters
425,2025,Lincoln (MO),Blue Tigers
426,2025,Lincoln (PA),Lions
427,2025,Lindenwood,Lions
428,2025,Linfield,Wildcats
429,2025,Lipscomb,Bisons
430,2025,Livingstone,Blue Bears
431,2025,Lock Haven,Bald Eagles
432,2025,Long Beach St.,Beach
433,2025,Long Island,Sharks
434,2025,Longwood,Lancers
435,2025,Loras,Duhawks
436,2025,Louisiana Tech,Bulldogs
437,2025,Louisville,Cardinals
438,2025,Loyola (IL),Ramblers
439,2025,Loyola Maryland,Greyhounds
440,2025,Loyola Marymount,Lions
441,2025,LSU,Fighting Tigers
442,2025,Lubbock Christian,Chaparrals
443,2025,Luther,Norse
444,2025,Lycoming,Warriors
445,2025,Lynchburg,Hornets
446,2025,Lyndon St.,Hornets
447,2025,Lynn,Fighting Knights
448,2025,Macalester,Scots
449,2025,Maine,Black Bears
450,2025,Maine Maritime,Mariners
451,2025,Malone,Pioneers
452,2025,Manchester,Spartans
453,2025,Manhattan,Jaspers
454,2025,Manhattanville,Valiants
455,2025,Mansfield,Mountaineers
456,2025,Maranatha Baptist,Sabercats
457,2025,Marian (WI),Sabres
458,2025,Marietta,Pioneers
459,2025,Marist,Red Foxes
460,2025,Marquette,Golden Eagles
461,2025,Mars Hill,Lions
462,2025,Marshall,Thundering Herd
463,2025,Martin Luther,Knights
464,2025,Mary,Marauders
465,2025,Mary Baldwin,Fighting Squirrels
466,2025,Mary Hardin-Baylor,Crusaders
467,2025,Mary Washington,Eagles
468,2025,Maryland,"Terrapins, Terps"
469,2025,Marymount (VA),Saints
470,2025,Maryville (MO),Saints
471,2025,Maryville (TN),Scots
472,2025,Marywood,Pacers
473,2025,Mass. Maritime,Buccaneers
474,2025,Mass-Amherst ,Minutemen
475,2025,McDaniel,Green Terror
476,2025,McKendree,Bearcats
477,2025,Mass-Liberal-Arts ,Trailblazers
478,2025,McMurry,War Hawks
479,2025,Me.-Farmington,Beavers
480,2025,Me.-Presque Isle,Owls
481,2025,Medgar Evers,Cougars
482,2025,Memphis,Tigers
483,2025,Menlo,Oaks
484,2025,Mercer,Bears
485,2025,Merchant Marine,Mariners
486,2025,Mercy,Mavericks
487,2025,Mercyhurst,Lakers
488,2025,Merrimack,Warriors
489,2025,Messiah,Falcons
490,2025,Methodist,Monarchs
491,2025,Metro St.,Roadrunners
492,2025,Miami (Fla.),Hurricanes
493,2025,Miami (OH),RedHawks
494,2025,Michigan,Wolverines
495,2025,Michigan St.,Spartans
496,2025,Michigan Tech,Huskies
497,2025,Middle Tenn.,Blue Raiders
498,2025,Middlebury,Panthers
499,2025,MSU Texas ,Mustangs
500,2025,Miles,Golden Bears
501,2025,Millersville,Marauders
502,2025,Millikin,Big Blue
503,2025,Millsaps,Majors
504,2025,Milwaukee,Panthers
505,2025,Minn.-Crookston,Golden Eagles
506,2025,Minn. Duluth,Bulldogs
507,2025,Minn.-Morris,Cougars
508,2025,Minn. St. Mankato,Mavericks
509,2025,Minn. St. Moorhead,Dragons
510,2025,Minnesota,Golden Gophers
511,2025,Minot St.,Beavers
