,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
2991,New Mexico,61,Wyoming,53,Wyoming,39.19597625732422,8,47.19597625732422
2992,UNLV,59,Boise St.,81,Boise St.,50.53125,-22,28.53125
2993,LMU (CA),56,Saint Mary's (CA),81,Saint Mary's (CA),51.30638122558594,-25,26.306381225585938
2994,Navy,59,Holy Cross,70,Holy Cross,33.43473815917969,-11,22.434738159179688
2995,Loyola Maryland,72,Army West Point,74,Army West Point,32.4375,-2,30.4375
2996,Coastal Carolina,51,App State,74,App State,41.0,-23,18.0
2997,DePaul,80,Seton Hall,85,Seton Hall,42.18145751953125,-5,37.18145751953125
2998,Northern Ky.,61,Youngstown St.,72,Youngstown St.,37.60734558105469,-11,26.607345581054688
2999,UConn,66,Villanova,68,Villanova,52.3607063293457,-2,50.3607063293457
3000,Loyola Chicago,79,La Salle,68,La Salle,45.20273303985596,11,56.20273303985596
3001,Southern California,69,Indiana,82,Indiana,53.68782424926758,-13,40.68782424926758
3002,Milwaukee,73,Purdue Fort Wayne,78,Purdue Fort Wayne,44.45025634765625,-5,39.45025634765625
3003,Alabama,88,South Carolina,68,South Carolina,46.75,20,66.75
3004,Florida St.,80,Miami (FL),65,Miami (FL),41.625,15,56.625
3005,Notre Dame,65,NC State,66,NC State,48.26335144042969,-1,47.26335144042969
3006,Murray St.,71,UNI,68,UNI,45.306640625,3,48.306640625
3007,Ole Miss,73,Arkansas,66,Arkansas,50.15625,7,57.15625
3008,George Washington,75,Rhode Island,67,Rhode Island,46.292715072631836,8,54.292715072631836
3009,Lafayette,62,Bucknell,65,Bucknell,36.25688362121582,-3,33.25688362121582
3010,Cleveland St.,80,Robert Morris,69,Robert Morris,38.625,11,49.625
3011,Lehigh,62,Colgate,67,Colgate,35.890625,-5,30.890625
3012,Furman,67,The Citadel,63,The Citadel,26.302054405212402,4,30.302054405212402
3013,Western Caro.,69,Wofford,77,Wofford,40.73723888397217,-8,32.73723888397217
3014,ETSU,70,Mercer,68,Mercer,38.0,2,40.0
3015,High Point,93,Charleston So.,79,Charleston So.,29.0,14,43.0
3016,Fla. Atlantic,75,Charlotte,64,Charlotte,31.0,11,42.0
3017,Temple,79,East Carolina,80,East Carolina,39.5,-1,38.5
3018,UNC Asheville,76,Longwood,85,Longwood,36.133544921875,-9,27.133544921875
3019,Dayton,72,Massachusetts,76,Massachusetts,39.0,-4,35.0
3020,Richmond,58,George Mason,64,George Mason,49.25,-6,43.25
3021,Saint Joseph's,81,Duquesne,85,Duquesne,40.58595371246338,-4,36.58595371246338
3022,Colorado,74,UCF,75,UCF,47.77423095703125,-1,46.77423095703125
3023,Drake,64,Bradley,57,Bradley,46.970703125,7,53.970703125
3024,American,54,Boston U.,60,Boston U.,35.907470703125,-6,29.907470703125
3025,Winthrop,83,Gardner-Webb,89,Gardner-Webb,36.95703125,-6,30.95703125
3026,Fordham,61,VCU,73,VCU,52.91224479675293,-12,40.91224479675293
3027,Presbyterian,67,USC Upstate,77,USC Upstate,27.60736083984375,-10,17.60736083984375
3028,Southern Ill.,86,Belmont,90,Belmont,43.0,-4,39.0
3029,Illinois St.,51,Evansville,69,Evansville,31.3125,-18,13.3125
3030,Indiana St.,95,Valparaiso,98,Valparaiso,38.071725845336914,-3,35.071725845336914
3031,St. Bonaventure,68,Saint Louis,73,Saint Louis,40.56315994262695,-5,35.56315994262695
3032,Ga. Southern,78,Georgia St.,82,Georgia St.,32.5,-4,28.5
3033,Butler,65,Providence,84,Providence,46.339834213256836,-19,27.339834213256836
3034,Kansas City,58,Omaha,77,Omaha,38.022769927978516,-19,19.022769927978516
3035,San Diego,80,Gonzaga,93,Gonzaga,60.60603332519531,-13,47.60603332519531
3036,South Dakota St.,72,St. Thomas (MN),73,St. Thomas (MN),40.30677032470703,-1,39.30677032470703
3037,Penn St.,52,Illinois,91,Illinois,65.25,-39,26.25
3038,Virginia Tech,59,Stanford,70,Stanford,48.0,-11,37.0
3039,Texas A&M,80,Oklahoma,78,Oklahoma,51.25,2,53.25
3040,Rice,59,North Texas,81,North Texas,48.544921875,-22,26.544921875
3041,Arizona St.,55,Kansas,74,Kansas,61.3800048828125,-19,42.3800048828125
3042,Air Force,38,San Diego St.,67,San Diego St.,56.762901306152344,-29,27.762901306152344
3043,Virginia,61,California,75,California,43.625,-14,29.625
3044,Morehead St.,59,Little Rock,53,Little Rock,34.154296875,6,40.154296875
3045,UNC Greensboro,78,Chattanooga,75,Chattanooga,40.09202003479004,3,43.09202003479004
3046,Oregon,73,Ohio St.,71,Ohio St.,57.4454345703125,2,59.4454345703125
3047,Binghamton,71,Maine,82,Maine,37.13427734375,-11,26.13427734375
3048,Purdue,68,Rutgers,50,Rutgers,46.2373046875,18,64.2373046875
3049,Vermont,67,UMass Lowell,63,UMass Lowell,40.33708572387695,4,44.33708572387695
3050,Detroit Mercy,61,IU Indy,95,IU Indy,30.29658031463623,-34,-3.7034196853637695
3051,Jacksonville,74,Bellarmine,59,Bellarmine,24.193302154541016,15,39.193302154541016
3052,North Ala.,70,FGCU,75,FGCU,40.40625,-5,35.40625
3053,North Florida,74,Eastern Ky.,79,Eastern Ky.,38.5,-5,33.5
3054,Col. of Charleston,67,Hofstra,61,Hofstra,41.339805603027344,6,47.339805603027344
3055,Texas St.,74,Troy,73,Troy,44.91935348510742,1,45.91935348510742
3056,Elon,65,William & Mary,78,William & Mary,36.697662353515625,-13,23.697662353515625
3057,Campbell,66,Hampton,55,Hampton,39.1875,11,50.1875
3058,Northeastern,73,Towson,80,Towson,41.038469314575195,-7,34.038469314575195
3059,James Madison,78,Marshall,80,Marshall,40.74160385131836,-2,38.74160385131836
3060,Drexel,67,Stony Brook,51,Stony Brook,28.24609375,16,44.24609375
3061,UMBC,87,NJIT,64,NJIT,22.015625,23,45.015625
3062,UAlbany,61,New Hampshire,57,New Hampshire,22.375,4,26.375
3063,Central Ark.,65,Stetson,75,Stetson,28.75,-10,18.75
3064,Oakland,62,Wright St.,66,Wright St.,37.999267578125,-4,33.999267578125
3065,Delaware,98,N.C. A&T,88,N.C. A&T,29.35625457763672,10,39.35625457763672
3066,UNCW,64,Monmouth,55,Monmouth,32.5859375,9,41.5859375
3067,Kennesaw St.,79,Middle Tenn.,84,Middle Tenn.,45.306640625,-5,40.306640625
3068,FIU,64,Louisiana Tech,81,Louisiana Tech,43.89247131347656,-17,26.892471313476562
3069,Jacksonville St.,73,Western Ky.,67,Western Ky.,46.306640625,6,52.306640625
3070,Washington,54,Michigan St.,88,Michigan St.,59.0,-34,25.0
3071,North Dakota St.,110,Oral Roberts,96,Oral Roberts,27.897214889526367,14,41.89721488952637
3072,Grand Canyon,64,Utah Valley,72,Utah Valley,40.4375,-8,32.4375
3073,VMI,68,Samford,81,Samford,46.603515625,-13,33.603515625
3074,ULM,67,Southern Miss.,84,Southern Miss.,34.387901306152344,-17,17.387901306152344
3075,Old Dominion,71,Louisiana,60,Louisiana,32.498046875,11,43.498046875
3076,Queens (NC),75,Lipscomb,73,Lipscomb,47.21303939819336,2,49.21303939819336
3077,West Ga.,72,Austin Peay,68,Austin Peay,27.802383422851562,4,31.802383422851562
3078,Arkansas St.,62,South Alabama,76,South Alabama,44.60335159301758,-14,30.603351593017578
3079,Southern Ind.,66,Southeast Mo. St.,77,Southeast Mo. St.,32.300872802734375,-11,21.300872802734375
3080,UT Martin,85,Western Ill.,83,Western Ill.,26.802143096923828,2,28.802143096923828
3081,Tennessee St.,62,Lindenwood,72,Lindenwood,27.124267578125,-10,17.124267578125
3082,Tarleton St.,74,Southern Utah,66,Southern Utah,37.0,8,45.0
3083,Tennessee Tech,69,Eastern Ill.,64,Eastern Ill.,27.088623046875,5,32.088623046875
3084,UT Arlington,62,Utah Tech,74,Utah Tech,31.5,-12,19.5
3085,Liberty,76,Sam Houston,68,Sam Houston,38.53125,8,46.53125
3086,Northern Colo.,83,Montana St.,82,Montana St.,37.69123840332031,1,38.69123840332031
3087,Cal St. Fullerton,53,UC Davis,63,UC Davis,37.3125,-10,27.3125
3088,Northern Ariz.,76,Montana,81,Montana,36.04423522949219,-5,31.044235229492188
3089,North Dakota,95,Denver,70,Denver,27.0,25,52.0
3090,Pacific,95,Washington St.,94,Washington St.,48.521002769470215,1,49.521002769470215
3091,Idaho,80,Sacramento St.,67,Sacramento St.,27.0,13,40.0
3092,CSU Bakersfield,66,UC Santa Barbara,78,UC Santa Barbara,41.879302978515625,-12,29.879302978515625
3093,UC Irvine,77,CSUN,67,CSUN,41.53125,10,51.53125
3094,Oregon St.,81,Santa Clara,82,Santa Clara,48.5950927734375,-1,47.5950927734375
3095,Eastern Wash.,59,Portland St.,64,Portland St.,36.0,-5,31.0
3096,Cal Poly,68,UC San Diego,95,UC San Diego,53.801963806152344,-27,26.801963806152344
3097,Hawaii,83,UC Riverside,76,UC Riverside,41.044342041015625,7,48.044342041015625
3098,Portland,72,San Francisco,81,San Francisco,49.37135601043701,-9,40.37135601043701
3099,Merrimack,66,Sacred Heart,65,Sacred Heart,34.2373046875,1,35.2373046875
3100,Kent St.,68,Buffalo,49,Buffalo,29.031980514526367,19,48.03198051452637
3101,Saint Peter's,60,Niagara,70,Niagara,31.9765625,-10,21.9765625
3102,Rider,67,Canisius,85,Canisius,20.404296875,-18,2.404296875
3103,LIU,70,Stonehill,60,Stonehill,29.0,10,39.0
3104,Iona,64,Fairfield,68,Fairfield,31.90625,-4,27.90625
3105,Wagner,62,Central Conn. St.,57,Central Conn. St.,39.494476318359375,5,44.494476318359375
3106,Mercyhurst,59,Saint Francis,73,Saint Francis,29.625,-14,15.625
3107,Mount St. Mary's,75,Manhattan,66,Manhattan,32.11865234375,9,41.11865234375
3108,Minnesota,59,Wisconsin,80,Wisconsin,60.2333984375,-21,39.2333984375
3109,Siena,53,Quinnipiac,72,Quinnipiac,37.046958923339844,-19,18.046958923339844
3110,FDU,91,Le Moyne,86,Le Moyne,23.8787841796875,5,28.8787841796875
3111,UCLA,61,Maryland,79,Maryland,57.875,-18,39.875
3112,Central Mich.,67,Toledo,69,Toledo,41.0,-2,39.0
3113,Brown,58,Yale,79,Yale,51.86102294921875,-21,30.86102294921875
3114,Notre Dame,78,Duke,86,Duke,70.61087036132812,-8,62.610870361328125
3115,Louisville,82,Pittsburgh,78,Pittsburgh,54.0,4,58.0
3116,Creighton,80,Butler,76,Butler,48.984375,4,52.984375
3117,La Salle,83,St. Bonaventure,82,St. Bonaventure,51.0,1,52.0
3118,Southern California,82,Illinois,72,Illinois,65.25,10,75.25
3119,Belmont,84,Indiana St.,79,Indiana St.,37.97263717651367,5,42.97263717651367
3120,NIU,70,Ohio,108,Ohio,43.0,-38,5.0
3121,Binghamton,72,New Hampshire,79,New Hampshire,22.375,-7,15.375
3122,Holy Cross,65,Lafayette,82,Lafayette,33.494476318359375,-17,16.494476318359375
3123,NJIT,62,UMass Lowell,70,UMass Lowell,40.33708572387695,-8,32.33708572387695
3124,Col. of Charleston,73,Monmouth,84,Monmouth,32.5859375,-11,21.5859375
3125,Auburn,66,South Carolina,63,South Carolina,46.75,3,49.75
3126,James Madison,66,App State,86,App State,41.0,-20,21.0
3127,UNCW,63,Hofstra,66,Hofstra,41.339805603027344,-3,38.339805603027344
3128,San Diego St.,48,New Mexico,62,New Mexico,49.0,-14,35.0
3129,Longwood,76,Winthrop,95,Winthrop,39.75,-19,20.75
3130,Army West Point,74,Lehigh,69,Lehigh,33.427001953125,5,38.427001953125
3131,South Fla.,70,Tulane,73,Tulane,39.40625,-3,36.40625
3132,Iowa St.,85,Texas Tech,84,Texas Tech,59.66176128387451,1,60.66176128387451
3133,Radford,80,USC Upstate,67,USC Upstate,27.60736083984375,13,40.60736083984375
3134,Kansas,54,Cincinnati,40,Cincinnati,56.36847686767578,14,70.36847686767578
3135,Temple,73,Rice,70,Rice,39.31210708618164,3,42.31210708618164
3136,UNC Asheville,96,Presbyterian,87,Presbyterian,36.03466796875,9,45.03466796875
3137,Massachusetts,70,George Mason,77,George Mason,49.25,-7,42.25
3138,East Carolina,70,Memphis,74,Memphis,57.69190216064453,-4,53.69190216064453
3139,N.C. A&T,78,William & Mary,81,William & Mary,36.697662353515625,-3,33.697662353515625
3140,Penn,70,Dartmouth,73,Dartmouth,31.20465087890625,-3,28.20465087890625
3141,BYU,67,TCU,71,TCU,52.66089630126953,-4,48.66089630126953
3142,Fordham,64,Davidson,74,Davidson,44.52786827087402,-10,34.52786827087402
3143,East Texas A&M,67,Northwestern St.,75,Northwestern St.,37.26023864746094,-8,29.260238647460938
3144,Cornell,94,Columbia,83,Columbia,39.875816345214844,11,50.875816345214844
3145,Princeton,68,Harvard,64,Harvard,35.31565475463867,4,39.31565475463867
3146,Central Ark.,71,FGCU,77,FGCU,40.40625,-6,34.40625
3147,Delaware,77,Hampton,83,Hampton,39.1875,-6,33.1875
3148,UAlbany,66,Maine,87,Maine,37.13427734375,-21,16.13427734375
3149,South Dakota St.,80,Omaha,87,Omaha,38.022769927978516,-7,31.022769927978516
3150,Florida St.,57,Clemson,77,Clemson,52.875,-20,32.875
3151,Cleveland St.,80,Youngstown St.,72,Youngstown St.,37.60734558105469,8,45.60734558105469
3152,Towson,93,Drexel,82,Drexel,39.359375,11,50.359375
3153,Bowling Green,69,Ball St.,91,Ball St.,30.5,-22,8.5
3154,UConn,68,Georgetown,60,Georgetown,49.0,8,57.0
3155,Boston U.,50,Colgate,87,Colgate,35.890625,-37,-1.109375
3156,Bradley,61,UIC,60,UIC,44.3359375,1,45.3359375
3157,Loyola Chicago,57,Saint Joseph's,93,Saint Joseph's,47.125,-36,11.125
3158,Syracuse,79,Boston College,71,Boston College,33.0,8,41.0
3159,North Dakota St.,69,Denver,50,Denver,27.0,19,46.0
3160,Kennesaw St.,69,Western Ky.,85,Western Ky.,46.306640625,-16,30.306640625
3161,Old Dominion,71,South Alabama,63,South Alabama,44.60335159301758,8,52.60335159301758
3162,Texas St.,88,Southern Miss.,92,Southern Miss.,34.387901306152344,-4,30.387901306152344
3163,San Jose St.,69,Air Force,62,Air Force,33.0,7,40.0
3164,Vanderbilt,66,Missouri,75,Missouri,57.5,-9,48.5
3165,Western Mich.,71,Miami (OH),91,Miami (OH),40.250061988830566,-20,20.250061988830566
3166,Akron,105,Eastern Mich.,81,Eastern Mich.,25.0,24,49.0
3167,FIU,74,Sam Houston,81,Sam Houston,38.53125,-7,31.53125
3168,UMES,69,N.C. Central,88,N.C. Central,31.5078125,-19,12.5078125
3169,Georgia Tech,71,SMU,93,SMU,54.0,-22,32.0
3170,Vermont,53,Bryant,73,Bryant,37.56534481048584,-20,17.56534481048584
3171,Virginia,65,Stanford,88,Stanford,48.0,-23,25.0
3172,The Citadel,52,ETSU,70,ETSU,40.62460803985596,-18,22.624608039855957
3173,Wichita St.,75,UTSA,88,UTSA,35.75,-13,22.75
3174,Delaware St.,76,South Carolina St.,75,South Carolina St.,34.375,1,35.375
3175,Coppin St.,69,Norfolk St.,92,Norfolk St.,41.138671875,-23,18.138671875
3176,North Ala.,92,Stetson,64,Stetson,28.75,28,56.75
3177,UNLV,62,Colorado St.,84,Colorado St.,45.25,-22,23.25
3178,Bucknell,58,American,68,American,39.29530048370361,-10,29.295300483703613
3179,Alabama A&M,52,Alcorn,62,Alcorn,28.07421875,-10,18.07421875
3180,North Carolina,63,NC State,61,NC State,48.26335144042969,2,50.26335144042969
3181,Xavier,77,DePaul,63,DePaul,45.95645523071289,14,59.95645523071289
3182,Jacksonville,82,Eastern Ky.,75,Eastern Ky.,38.5,7,45.5
3183,Green Bay,59,Milwaukee,70,Milwaukee,40.72235107421875,-11,29.72235107421875
3184,Eastern Wash.,65,Sacramento St.,54,Sacramento St.,27.0,11,38.0
3185,Hawaii,95,Cal St. Fullerton,86,Cal St. Fullerton,28.875003814697266,9,37.875003814697266
3186,Ga. Southern,69,Marshall,81,Marshall,40.74160385131836,-12,28.74160385131836
3187,Coastal Carolina,74,Georgia St.,79,Georgia St.,32.5,-5,27.5
3188,California Baptist,69,Utah Valley,75,Utah Valley,40.4375,-6,34.4375
3189,Florida,71,Arkansas,63,Arkansas,50.15625,8,58.15625
3190,Valparaiso,47,Murray St.,58,Murray St.,41.0,-11,30.0
3191,Morgan St.,95,Howard,100,Howard,33.201011657714844,-5,28.201011657714844
3192,Tennessee St.,72,Western Ill.,52,Western Ill.,26.802143096923828,20,46.80214309692383
3193,UT Martin,81,Lindenwood,82,Lindenwood,27.124267578125,-1,26.124267578125
3194,UTRGV,74,A&M-Corpus Christi,79,A&M-Corpus Christi,41.939515113830566,-5,36.939515113830566
3195,UIW,76,Houston Christian,81,Houston Christian,31.0,-5,26.0
3196,Alabama St.,70,Jackson St.,77,Jackson St.,33.06773376464844,-7,26.067733764648438
3197,Arkansas St.,84,Troy,78,Troy,44.91935348510742,6,50.91935348510742
3198,Morehead St.,67,Southeast Mo. St.,56,Southeast Mo. St.,32.300872802734375,11,43.300872802734375
3199,Navy,74,Loyola Maryland,75,Loyola Maryland,33.0,-1,32.0
3200,Long Beach St.,84,UC Davis,73,UC Davis,37.3125,11,48.3125
3201,Idaho,63,Portland St.,75,Portland St.,36.0,-12,24.0
3202,Tennessee Tech,59,SIUE,67,SIUE,35.90677261352539,-8,27.90677261352539
3203,Queens (NC),67,Austin Peay,60,Austin Peay,27.802383422851562,7,34.80238342285156
3204,Seton Hall,85,Providence,91,Providence,46.339834213256836,-6,40.339834213256836
3205,West Ga.,67,Lipscomb,86,Lipscomb,47.21303939819336,-19,28.21303939819336
3206,Nicholls,71,McNeese,80,McNeese,49.0,-9,40.0
3207,Wake Forest,88,Miami (FL),78,Miami (FL),41.625,10,51.625
3208,Bethune-Cookman,65,Grambling,59,Grambling,27.69597625732422,6,33.69597625732422
3209,Evansville,40,Drake,63,Drake,48.5859375,-23,25.5859375
3210,Florida A&M,57,Southern U.,91,Southern U.,37.886268615722656,-34,3.8862686157226562
3211,UNC Greensboro,69,Samford,76,Samford,46.603515625,-7,39.603515625
3212,Rhode Island,67,Richmond,64,Richmond,37.78327751159668,3,40.78327751159668
3213,Northern Colo.,81,Montana,57,Montana,36.04423522949219,24,60.04423522949219
3214,Oakland,68,Northern Ky.,53,Northern Ky.,37.904457092285156,15,52.904457092285156
3215,Houston,87,Kansas St.,57,Kansas St.,45.033705711364746,30,75.03370571136475
3216,Southeastern La.,91,New Orleans,71,New Orleans,26.507568359375,20,46.507568359375
3217,Virginia Tech,71,California,68,California,43.625,3,46.625
3218,Oklahoma,62,Georgia,72,Georgia,52.610870361328125,-10,42.610870361328125
3219,Jacksonville St.,64,Middle Tenn.,81,Middle Tenn.,45.306640625,-17,28.306640625
3220,LSU,65,Ole Miss,77,Ole Miss,59.0,-12,47.0
3221,Tennessee,74,Texas,70,Texas,58.5625,4,62.5625
3222,North Florida,98,Bellarmine,83,Bellarmine,24.193302154541016,15,39.193302154541016
3223,SFA,72,Lamar University,63,Lamar University,31.11251449584961,9,40.11251449584961
3224,Nevada,77,Fresno St.,66,Fresno St.,33.3125,11,44.3125
3225,Prairie View,74,Mississippi Val.,65,Mississippi Val.,10.07421875,9,19.07421875
3226,Gardner-Webb,55,High Point,96,High Point,44.0,-41,3.0
3227,Oklahoma St.,62,Utah,83,Utah,54.91191482543945,-21,33.91191482543945
3228,San Francisco,54,Santa Clara,77,Santa Clara,48.5950927734375,-23,25.5950927734375
3229,UNI,85,Illinois St.,84,Illinois St.,43.1328125,1,44.1328125
3230,Missouri St.,78,Southern Ill.,88,Southern Ill.,35.197919845581055,-10,25.197919845581055
3231,Villanova,68,St. John's (NY),80,St. John's (NY),57.9224910736084,-12,45.9224910736084
3232,Northeastern,70,Stony Brook,66,Stony Brook,28.24609375,4,32.24609375
3233,Detroit Mercy,67,Purdue Fort Wayne,90,Purdue Fort Wayne,44.45025634765625,-23,21.45025634765625
3234,Indiana,60,Iowa,85,Iowa,56.85523223876953,-25,31.85523223876953
3235,UC Santa Barbara,75,Cal Poly,72,Cal Poly,37.0,3,40.0
3236,Northern Ariz.,53,Montana St.,58,Montana St.,37.69123840332031,-5,32.69123840332031
3237,South Dakota,104,St. Thomas (MN),119,St. Thomas (MN),40.30677032470703,-15,25.30677032470703
3238,Weber St.,77,Idaho St.,69,Idaho St.,41.890663146972656,8,49.890663146972656
3239,ULM,68,Louisiana,71,Louisiana,32.498046875,-3,29.498046875
3240,Liberty,74,Louisiana Tech,79,Louisiana Tech,43.89247131347656,-5,38.89247131347656
3241,North Dakota,79,Oral Roberts,83,Oral Roberts,27.897214889526367,-4,23.897214889526367
3242,Alabama,94,Texas A&M,88,Texas A&M,57.0,6,63.0
3243,Kentucky,95,Mississippi St.,90,Mississippi St.,59.0,5,64.0
3244,UT Arlington,68,Southern Utah,73,Southern Utah,37.0,-5,32.0
3245,Boise St.,79,Utah St.,81,Utah St.,57.0,-2,55.0
3246,New Mexico St.,85,UTEP,57,UTEP,47.0009765625,28,75.0009765625
3247,Washington St.,75,Gonzaga,88,Gonzaga,60.60603332519531,-13,47.60603332519531
3248,Tarleton St.,54,Utah Tech,58,Utah Tech,31.5,-4,27.5
3249,CSUN,90,CSU Bakersfield,94,CSU Bakersfield,36.894351959228516,-4,32.894351959228516
3250,Baylor,72,Arizona St.,66,Arizona St.,52.98872375488281,6,58.98872375488281
3251,UC Irvine,60,UC San Diego,52,UC San Diego,53.801963806152344,8,61.801963806152344
3252,Oregon St.,91,Pacific,55,Pacific,33.000003814697266,36,69.00000381469727
3253,Abilene Christian,64,Seattle U,66,Seattle U,37.345672607421875,-2,35.345672607421875
3254,UCF,80,Arizona,88,Arizona,61.180580139160156,-8,53.180580139160156
3255,Saint Mary's (CA),103,San Diego,56,San Diego,29.0,47,76.0
3256,Michigan St.,78,Northwestern,68,Northwestern,51.85548400878906,10,61.85548400878906
3257,Nebraska,68,Purdue,104,Purdue,58.23876953125,-36,22.23876953125
3258,Rider,68,Niagara,65,Niagara,31.9765625,3,34.9765625
3259,VMI,66,Chattanooga,91,Chattanooga,40.09202003479004,-25,15.092020034790039
3260,Saint Peter's,62,Canisius,49,Canisius,20.404296875,13,33.404296875
3261,LIU,54,Central Conn. St.,52,Central Conn. St.,39.494476318359375,2,41.494476318359375
3262,Quinnipiac,63,Iona,62,Iona,33.48098945617676,1,34.48098945617676
3263,Saint Francis,75,FDU,71,FDU,30.0,4,34.0
3264,Sacred Heart,71,Mount St. Mary's,73,Mount St. Mary's,37.4375,-2,35.4375
3265,Fairfield,51,Marist,61,Marist,39.359375,-10,29.359375
3266,Mercyhurst,63,Le Moyne,79,Le Moyne,23.8787841796875,-16,7.8787841796875
3267,Wright St.,72,Robert Morris,75,Robert Morris,38.625,-3,35.625
3268,Washington,75,Michigan,91,Michigan,63.375,-16,47.375
3269,Manhattan,62,Merrimack,69,Merrimack,37.40948486328125,-7,30.40948486328125
3270,Stonehill,68,Chicago St.,52,Chicago St.,20.447998046875,16,36.447998046875
3271,West Virginia,78,Colorado,70,Colorado,48.16218948364258,8,56.16218948364258
3272,Charlotte,63,Tulsa,69,Tulsa,32.15625,-6,26.15625
3273,Mercer,82,Western Caro.,85,Western Caro.,25.00341796875,-3,22.00341796875
3274,Southern Ind.,58,Little Rock,78,Little Rock,34.154296875,-20,14.154296875
3275,Oregon,82,Penn St.,81,Penn St.,55.418678283691406,1,56.418678283691406
3276,UAB,81,Fla. Atlantic,76,Fla. Atlantic,43.4375,5,48.4375
3277,Prairie View,75,Ark.-Pine Bluff,64,Ark.-Pine Bluff,11.472640037536621,11,22.47264003753662
3278,Minnesota,71,Maryland,77,Maryland,57.875,-6,51.875
3279,UCLA,68,Rutgers,75,Rutgers,46.2373046875,-7,39.2373046875
3280,American,73,Loyola Maryland,54,Loyola Maryland,33.0,19,52.0
3281,Wofford,81,Furman,62,Furman,45.0,19,64.0
3282,Boston College,60,Notre Dame,78,Notre Dame,49.0,-18,31.0
3283,Texas Southern,82,Mississippi Val.,53,Mississippi Val.,10.07421875,29,39.07421875
3284,Alabama St.,65,Alcorn,67,Alcorn,28.07421875,-2,26.07421875
3285,Delaware St.,72,N.C. Central,75,N.C. Central,31.5078125,-3,28.5078125
3286,Bethune-Cookman,53,Southern U.,69,Southern U.,37.886268615722656,-16,21.886268615722656
3287,Norfolk St.,74,Morgan St.,78,Morgan St.,25.521320343017578,-4,21.521320343017578
3288,Southeastern La.,66,SFA,59,SFA,35.5,7,42.5
3289,Nicholls,88,UIW,82,UIW,35.890777587890625,6,41.890777587890625
3290,Coppin St.,75,Howard,90,Howard,33.201011657714844,-15,18.201011657714844
3291,Florida A&M,72,Grambling,79,Grambling,27.69597625732422,-7,20.69597625732422
3292,UMES,64,South Carolina St.,78,South Carolina St.,34.375,-14,20.375
3293,East Texas A&M,55,UTRGV,57,UTRGV,39.515625,-2,37.515625
3294,Northwestern St.,64,A&M-Corpus Christi,73,A&M-Corpus Christi,41.939515113830566,-9,32.939515113830566
3295,Alabama A&M,93,Jackson St.,103,Jackson St.,33.06773376464844,-10,23.067733764648438
3296,McNeese,75,Houston Christian,59,Houston Christian,31.0,16,47.0
3297,New Orleans,68,Lamar University,62,Lamar University,31.11251449584961,6,37.11251449584961
3298,Campbell,68,Elon,81,Elon,45.33986282348633,-13,32.33986282348633
3299,Villanova,63,Xavier,69,Xavier,56.079010009765625,-6,50.079010009765625
3300,Illinois,94,Indiana,69,Indiana,53.68782424926758,25,78.68782424926758
3301,Ball St.,71,Ohio,86,Ohio,43.0,-15,28.0
3302,Western Mich.,94,Kent St.,83,Kent St.,45.10503387451172,11,56.10503387451172
3303,Miami (OH),84,NIU,69,NIU,24.0,15,39.0
3304,Marquette,85,DePaul,83,DePaul,45.95645523071289,2,47.95645523071289
3305,Ole Miss,74,Alabama,64,Alabama,62.875,10,72.875
3306,Buffalo,61,Bowling Green,79,Bowling Green,37.35507678985596,-18,19.355076789855957
3307,Mississippi St.,66,Auburn,88,Auburn,72.0,-22,50.0
3308,Eastern Mich.,63,Central Mich.,82,Central Mich.,40.123046875,-19,21.123046875
3309,Texas A&M,69,Kentucky,81,Kentucky,64.28585815429688,-12,52.285858154296875
3310,Saint Louis,62,VCU,78,VCU,52.91224479675293,-16,36.91224479675293
3311,Toledo,78,Akron,85,Akron,43.50798988342285,-7,36.50798988342285
3312,Louisville,85,Syracuse,61,Syracuse,44.265625,24,68.265625
3313,North Texas,69,East Carolina,60,East Carolina,39.5,9,48.5
3314,Valparaiso,64,Belmont,71,Belmont,43.0,-7,36.0
3315,Georgetown,58,St. John's (NY),63,St. John's (NY),57.9224910736084,-5,52.9224910736084
3316,Charlotte,59,Wichita St.,68,Wichita St.,41.0,-9,32.0
3317,Evansville,56,UNI,73,UNI,45.306640625,-17,28.306640625
3318,UTSA,90,Rice,84,Rice,39.31210708618164,6,45.31210708618164
3319,Providence,64,Creighton,84,Creighton,55.25,-20,35.25
3320,Little Rock,73,Southeast Mo. St.,71,Southeast Mo. St.,32.300872802734375,2,34.300872802734375
3321,Miami (FL),54,Duke,89,Duke,70.61087036132812,-35,35.610870361328125
3322,Ohio St.,68,Wisconsin,70,Wisconsin,60.2333984375,-2,58.2333984375
3323,Missouri,83,Florida,82,Florida,60.25,1,61.25
3324,Clemson,70,Georgia Tech,59,Georgia Tech,42.76759338378906,11,53.76759338378906
3325,Texas Tech,61,Kansas St.,57,Kansas St.,45.033705711364746,4,49.033705711364746
3326,Wyoming,55,Boise St.,96,Boise St.,50.53125,-41,9.53125
3327,Arkansas,74,LSU,78,LSU,48.25,-4,44.25
3328,Oklahoma St.,69,BYU,85,BYU,54.12101936340332,-16,38.12101936340332
3329,Air Force,62,Nevada,68,Nevada,50.19791030883789,-6,44.19791030883789
