,year,team1,team1_score,team2,team2_score
387,2024,North Dakota St.,60,Creighton,89
388,2024,St. Mary's (MD),43,Longwood,95
389,2024,Utah Tech,81,Jacksonville St.,79
390,2024,UIW,71,Tulsa,85
391,2024,Cairn,65,UMES,83
392,2024,Marist,65,UMBC,59
393,2024,Northeastern,74,La Salle,79
394,2024,Texas Southern,52,Arizona St.,63
395,2024,App State,78,NIU,91
396,2024,Coppin St.,60,Mount St. Mary's,74
397,2024,FDU,55,Seton Hall,85
398,2024,Saint Peter's,75,NJIT,48
399,2024,Canisius,70,St. Bonaventure,67
400,2024,Southern-N.O.,69,New Orleans,106
401,2024,UT Martin,63,Mississippi St.,87
402,2024,Montana St.,68,Seattle U,71
403,2024,Asbury,74,Lipscomb,113
404,2024,Drexel,74,Winthrop,72
405,2024,UT Tyler,64,UT Arlington,95
406,2024,Ohio,78,Cleveland St.,82
407,2024,Milwaukee,69,Providence,79
408,2024,Fresno St.,69,Kent St.,79
409,2024,Plattsburgh St.,41,Vermont,92
410,2024,Bucknell,73,Niagara,64
411,2024,UAlbany,78,Columbia,75
412,2024,Louisiana,78,Toledo,87
413,2024,Stetson,55,UNLV,71
414,2024,Saint Francis (PA),59,Santa Clara,82
415,2024,St. Mary (KS),42,Kansas City,95
416,2024,Southwestern Christ.,68,Ark.-Pine Bluff,112
417,2024,Holy Cross,68,Georgetown,67
418,2024,Siena,48,Richmond,90
419,2024,Illinois St.,71,Saint Louis,80
420,2024,UNT Dallas,52,Tarleton St.,93
421,2024,Eastern Ill.,65,Loyola Chicago,89
422,2024,Utah St.,66,Bradley,72
423,2024,Omaha,64,North Texas,75
424,2024,Cal Poly,66,Wyoming,80
425,2024,Long Beach St.,77,DePaul,73
426,2024,San Diego,63,UC San Diego,69
427,2024,New Mexico St.,74,UC Irvine,91
428,2024,La Sierra,48,Cal St. Fullerton,78
429,2024,Bryant,57,Rutgers,66
430,2024,Penn St.-Wilkes Barre,60,Morgan St.,78
431,2024,Eastern Wash.,73,Cincinnati,85
432,2024,Maryland,63,UAB,66
433,2024,Idaho St.,55,Iowa St.,86
434,2024,Air Force,57,Delaware,65
435,2024,Friends,65,Wichita St.,95
436,2024,Elon,68,North Dakota,85
437,2024,San Jose St.,42,Texas Tech,56
438,2024,Lehigh,68,North Carolina,90
439,2024,Tex. A&M-Commerce,64,Purdue Fort Wayne,86
440,2024,Davidson,65,Clemson,68
441,2024,Sam Houston,70,Oklahoma St.,85
442,2024,Merrimack,71,Maine,65
443,2024,Howard,86,James Madison,107
444,2024,Lafayette,53,Pepperdine,76
445,2024,San Francisco,58,Boise St.,63
446,2024,CarolinaU,48,USC Upstate,106
447,2024,St. Ambrose,59,Western Ill.,94
448,2024,Chicago St.,78,Southern Ind.,67
449,2024,East. Mennonite,47,Radford,84
450,2024,Gardner-Webb,62,Baylor,77
451,2024,N.C. Central,54,Georgia,64
452,2024,North Central (MN),54,St. Thomas (MN),100
453,2024,Linfield,53,Portland St.,70
454,2024,UC Riverside,65,Portland,76
455,2024,Northern Ariz.,55,Grand Canyon,89
456,2024,Yale,83,LMU (CA),80
457,2024,Bard,36,Columbia,86
458,2024,Keystone,50,Binghamton,104
459,2024,Robert Morris,62,Towson,66
460,2024,Army West Point,64,Indiana,72
461,2024,Weber St.,61,Saint Mary's (CA),57
462,2024,UC Davis,65,Montana,78
463,2024,Nevada,83,Washington,76
464,2024,Ohio Christian,71,Youngstown St.,99
465,2024,Michigan,89,St. John's (NY),73
466,2024,FGCU,74,Pittsburgh,86
467,2024,North Florida,77,South Carolina St.,87
468,2024,Hampton,68,Norfolk St.,75
469,2024,Mt. St. Mary (NY),45,Fairfield,92
470,2024,Central Mich.,67,Florida St.,94
471,2024,The Citadel,64,Presbyterian,71
472,2024,ETSU,47,Butler,81
473,2024,FIU,80,Miami (FL),86
474,2024,JWU (Charlotte),61,Charleston So.,102
475,2024,SUNY Canton,46,Le Moyne,105
476,2024,Siena,58,American,78
477,2024,Brescia,72,UT Martin,90
478,2024,Lyon,43,Louisiana Tech,100
479,2024,Quinnipiac,81,Massachusetts,102
480,2024,VMI,64,South Carolina,74
481,2024,Stony Brook,63,Duquesne,85
482,2024,Framingham St.,42,Central Conn. St.,99
483,2024,Villanova,72,Penn,76
484,2024,Western Caro.,66,Middle Tenn.,64
485,2024,Ark.-Pine Bluff,85,Central Ark.,83
486,2024,SFA,96,Northwestern St.,70
487,2024,South Dakota St.,68,Kansas St.,91
488,2024,Champion Chris.,46,McNeese,110
489,2024,Oral Roberts,69,Missouri St.,84
490,2024,IIT,55,NIU,107
491,2024,Old Dominion,77,Arkansas,86
492,2024,Hannibal-La Grange,52,Lindenwood,83
493,2024,SIUE,50,Missouri,68
494,2024,Stetson,48,Houston,79
495,2024,Southern U.,59,Arizona,97
496,2024,Rider,50,Nebraska,64
497,2024,Xavier,71,Purdue,83
498,2024,Dallas Christian,45,A&M-Corpus Christi,104
499,2024,UC Santa Barbara,76,UTEP,89
500,2024,CSU Bakersfield,63,California,83
501,2024,La Verne,57,UC San Diego,116
502,2024,LIU,53,Pepperdine,88
503,2024,Schreiner,63,UIW,104
504,2024,North Dakota St.,53,UC Davis,68
505,2024,Wisconsin,59,Providence,72
506,2024,Penn St.-York,65,UMBC,84
507,2024,Wofford,61,Tennessee,82
508,2024,CarolinaU,54,UNC Asheville,117
509,2024,Bucknell,57,La Salle,69
510,2024,Sacred Heart,84,Holy Cross,77
511,2024,Saint Francis (PA),53,Penn St.,83
512,2024,Florida A&M,68,Florida,89
513,2024,Hofstra,60,George Washington,71
514,2024,Oglethorpe,51,Alabama St.,115
515,2024,Eastern Mich.,57,Fla. Atlantic,100
516,2024,Mercer,66,Morehead St.,74
517,2024,Stonehill,56,Saint Joseph's,100
518,2024,Duke,74,Michigan St.,65
519,2024,Champion Chris.,73,Grambling,113
520,2024,N.C. A&T,51,Virginia,80
521,2024,Mississippi Val.,53,UConn,87
522,2024,High Point,72,Queens (NC),74
523,2024,Lipscomb,96,Tennessee Tech,65
524,2024,Mid-Atlantic Christ.,50,N.C. Central,113
525,2024,DePauw,68,Northern Ky.,85
526,2024,Wagner,53,Rhode Island,69
527,2024,Oakland City,51,Ball St.,92
528,2024,Toledo,78,Wright St.,77
529,2024,Colgate,75,Syracuse,79
530,2024,Columbia Int'l,80,UNCW,116
531,2024,IUPUI,57,Indiana St.,96
532,2024,Temple,66,Drexel,64
533,2024,Brown,64,New Hampshire,82
534,2024,Ga. Southern,68,Jacksonville,85
535,2024,Bellarmine,64,Chattanooga,72
536,2024,Northeastern,56,Harvard,80
537,2024,Jacksonville St.,57,West Virginia,70
538,2024,Bowling Green,62,Oakland,81
539,2024,Mississippi Col.,52,Samford,96
540,2024,North Ala.,54,Mississippi St.,81
541,2024,Berry,59,Belmont,93
542,2024,Heidelberg,56,Akron,114
543,2024,UMass Lowell,74,Georgia Tech,71
544,2024,Boston U.,53,Howard,64
545,2024,CSUN,74,Chicago St.,64
546,2024,UIC,72,Loyola Chicago,67
547,2024,Tarleton St.,63,Bradley,86
548,2024,Western Mich.,59,Northwestern,63
549,2024,Southwest Minn. St.,67,Drake,87
550,2024,Texas St.,54,Oklahoma,93
551,2024,Fisk,52,Austin Peay,79
552,2024,Western Ky.,86,Murray St.,81
553,2024,UNC Greensboro,70,Vanderbilt,74
554,2024,Texas A&M,79,SMU,66
555,2024,Colorado St.,83,Northern Colo.,64
556,2024,Marquette,71,Illinois,64
557,2024,Alcorn,86,Arkansas St.,100
558,2024,Loras,50,UNI,90
559,2024,UTSA,82,Lamar University,90
560,2024,LeTourneau,49,McNeese,81
561,2024,Prairie View,79,Abilene Christian,74
562,2024,Detroit Mercy,69,Ole Miss,70
563,2024,UTRGV,55,TCU,88
564,2024,Green Bay,59,Valparaiso,64
565,2024,Tiffin,65,Southern Ind.,68
566,2024,South Alabama,46,Alabama,102
567,2024,Reinhardt,46,Troy,111
568,2024,Milwaukee,79,Colorado,106
569,2024,Evergreen St.,42,Idaho,88
570,2024,Santa Clara,89,Stanford,77
571,2024,South Dakota,60,DePaul,72
572,2024,Southern Utah,84,Utah St.,93
573,2024,Eastern Ore.,57,Gonzaga,123
574,2024,Western N.M.,43,New Mexico St.,78
575,2024,Kentucky,84,Kansas,89
576,2024,Pacific Union,66,Sacramento St.,128
577,2024,Jackson St.,66,LMU (CA),88
578,2024,Iowa,84,Creighton,92
579,2024,Long Beach St.,76,San Diego St.,88
580,2024,App State,71,Oregon St.,81
581,2024,Kansas City,61,Baylor,99
582,2024,UC Irvine,70,Southern California,60
583,2024,Hawaii Hilo,66,Hawaii,82
584,2024,Campbell,44,Virginia Tech,60
585,2024,UAlbany,71,Seton Hall,96
586,2024,Utah Valley,45,Charlotte,62
587,2024,Central Mich.,68,South Fla.,63
588,2024,Westfield St.,61,Dartmouth,79
589,2024,Coppin St.,41,Louisville,61
590,2024,Saint Peter's,70,FDU,71
591,2024,Roberts Wesleyan,83,Buffalo,89
592,2024,Richmond,61,Boston College,68
593,2024,Merrimack,52,Ohio St.,76
594,2024,Keiser,55,Kennesaw St.,101
595,2024,Canisius,61,Cleveland St.,71
596,2024,SUNY Delhi,60,Columbia,105
597,2024,Radford,50,VCU,73
598,2024,USC Upstate,83,East Carolina,81
599,2024,Denver,91,Nicholls,85
600,2024,Binghamton,63,Loyola Maryland,57
601,2024,Princeton,70,Duquesne,67
602,2024,Delaware,78,Delaware St.,67
603,2024,Trinity Baptist,63,Bethune-Cookman,104
604,2024,Evansville,76,Southeast Mo. St.,57
605,2024,Cornell,83,George Mason,90
606,2024,Xavier (LA),45,Southern Miss.,76
607,2024,Stony Brook,63,Nebraska,84
608,2024,Longwood,80,UMES,61
609,2024,La. Christian,56,Louisiana,107
610,2024,FIU,83,Houston Christian,74
611,2024,Science & Arts Okla.,63,Tex. A&M-Commerce,113
612,2024,Eastern Ill.,61,Illinois St.,69
613,2024,Georgetown,60,Rutgers,71
614,2024,Tennessee St.,75,Portland,65
615,2024,Southeastern La.,48,BYU,105
616,2024,Rice,64,Texas,80
617,2024,LIU,58,UCLA,78
618,2024,Pacific,39,Nevada,88
619,2024,Northern Ariz.,62,Seattle U,60
620,2024,Morgan St.,68,Fresno St.,87
621,2024,Col. of Charleston,64,Vermont,73
622,2024,St. John's (NY),53,North Texas,52
623,2024,St. Katherine,44,CSU Bakersfield,77
624,2024,Saint Louis,79,Wyoming,69
625,2024,Northwestern St.,65,Maine,78
626,2024,Dayton,70,LSU,67
627,2024,Wichita St.,86,Coastal Carolina,77
