,year,team1,team1_score,team2,team2_score
302,2025,Eastern Ky.,82,ETSU,78
303,2025,Hampton,54,George Washington,82
304,2025,Purdue Fort Wayne,68,UCF,75
305,2025,Grambling,64,Ole Miss,66
306,2025,Iona,76,Hofstra,90
307,2025,Central Conn. St.,73,Saint Joseph's,67
308,2025,Morehead St.,56,Cincinnati,83
309,2025,Ga. Southern,84,UNCW,92
310,2025,South Carolina St.,64,South Carolina,86
311,2025,St. Thomas (MN),90,Green Bay,76
312,2025,Miami-Hamilton,53,Kent St.,98
313,2025,Saint Francis,62,Clemson,88
314,2025,Western Caro.,54,Queens (NC),67
315,2025,USC Upstate,74,Virginia Tech,93
316,2025,Northern Ky.,50,Purdue,72
317,2025,Massachusetts,69,West Virginia,75
318,2025,Coastal Ga.,49,Fla. Atlantic,99
319,2025,Ohio Wesleyan,57,Akron,88
320,2025,Murray St.,68,Pittsburgh,83
321,2025,North Carolina,89,Kansas,92
322,2025,Presbyterian,72,NC State,81
323,2025,William & Mary,77,Radford,89
324,2025,Siena,90,Bryant,88
325,2025,South Fla.,71,Col. of Charleston,86
326,2025,Davidson,91,Bowling Green,85
327,2025,Holy Cross,77,Rhode Island,91
328,2025,ULM,64,Tulane,80
329,2025,South Alabama,70,Nicholls,64
330,2025,Georgia St.,66,Mississippi St.,101
331,2025,Furman,76,Belmont,74
332,2025,Houston Christian,59,Texas,90
333,2025,Arkansas St.,79,Alabama,88
334,2025,Ozark Christian,49,Oral Roberts,105
335,2025,McMurry,62,Texas St.,102
336,2025,Kansas Christian,36,Kansas City,124
337,2025,FGCU,51,TCU,67
338,2025,Santa Clara,74,Arizona St.,81
339,2025,Mount St. Mary's,52,Maryland,86
340,2025,Fredonia,78,Buffalo,87
341,2025,Howard,62,Missouri,77
342,2025,East Texas A&M,55,Texas A&M,87
343,2025,Concordia (MI),46,Valparaiso,111
344,2025,Dallas Christian,36,A&M-Corpus Christi,87
345,2025,Yale,79,UIC,91
346,2025,SIUE,58,Illinois,90
347,2025,Nelson,67,Northern Ariz.,115
348,2025,Missouri S&T,64,Southern Ill.,86
349,2025,Harvard,80,Navy,85
350,2025,NJIT,54,Villanova,91
351,2025,Princeton,75,Duquesne,68
352,2025,UC Riverside,80,BYU,86
353,2025,Northern Colo.,88,Colorado,90
354,2025,George Mason,63,Marquette,82
355,2025,Northwestern St.,65,Texas Tech,86
356,2025,Long Beach St.,79,South Dakota St.,80
357,2025,San Jose St.,67,Pacific,80
358,2025,Tennessee St.,79,Colorado St.,87
359,2025,Sacramento St.,57,Fresno St.,64
360,2025,UC Irvine,66,LMU (CA),51
361,2025,Boston U.,60,San Diego,74
362,2025,Montana,48,Oregon,79
363,2025,Weber St.,48,Oregon St.,76
364,2025,Bradley,74,Washington St.,91
365,2025,New Mexico,72,UCLA,64
366,2025,LIFE Pacific,61,Hawaii,96
367,2025,Tennessee,77,Louisville,55
368,2025,Pratt,42,LIU,102
369,2025,Fordham,57,Seton Hall,56
370,2025,Little Rock,67,Winthrop,82
371,2025,Wright St.,81,Miami (OH),68
372,2025,Manor,52,Wagner,94
373,2025,Sacred Heart,76,Dartmouth,81
374,2025,Rider,64,Coppin St.,53
375,2025,Delaware St.,62,Columbia,83
376,2025,Colgate,56,Drexel,73
377,2025,Quinnipiac,73,St. John's (NY),96
378,2025,Jackson St.,71,High Point,80
379,2025,Toledo,90,Marshall,80
380,2025,Brescia,49,Evansville,96
381,2025,Houghton,62,Mercyhurst,88
382,2025,VMI,76,Bellarmine,71
383,2025,Morgan St.,66,Longwood,84
384,2025,Ark.-Pine Bluff,80,Tulsa,103
385,2025,Omaha,64,Minnesota,68
386,2025,Lafayette,60,La Salle,81
387,2025,Coastal Carolina,59,East Carolina,63
388,2025,St. Bonaventure,87,Canisius,78
389,2025,Old Dominion,44,Arizona,102
390,2025,Cleveland St.,64,Kansas St.,77
391,2025,Bucknell,72,Kentucky,100
392,2025,UTEP,60,Utah Valley,89
393,2025,Fairfield,57,Georgetown,69
394,2025,Charlotte,74,Utah St.,103
395,2025,Penn St.-Schuylkill,77,UMES,96
396,2025,MUW,44,Nicholls,93
397,2025,Alcorn,56,Xavier (LA),62
398,2025,Wofford,69,Lipscomb,78
399,2025,Troy,78,New Orleans,61
400,2025,Marist,79,Richmond,72
401,2025,Stonehill,49,Providence,76
402,2025,Memphis,80,UNLV,74
403,2025,James Madison,69,Norfolk St.,83
404,2025,Louisiana Tech,92,UT Arlington,77
405,2025,UC Santa Barbara,94,Portland,53
406,2025,Montana St.,69,Wichita St.,89
407,2025,SUNY Oneonta,69,UAlbany,89
408,2025,Florida St.,73,Rice,65
409,2025,Middle Tenn.,79,Abilene Christian,56
410,2025,Vermont,51,Merrimack,65
411,2025,UNC Asheville,76,Ohio,82
412,2025,SUNY Poly,73,Le Moyne,107
413,2025,Lancaster Bible,42,Loyola Maryland,83
414,2025,Arkansas,67,Baylor,72
415,2025,Northwestern,66,Dayton,71
416,2025,Western Ky.,72,Grand Canyon,74
417,2025,Bluefield Univ.,66,Elon,103
418,2025,Liberty,66,Seattle U,64
419,2025,Bethune-Cookman,58,Nebraska,63
420,2025,Kennesaw St.,84,California Baptist,88
421,2025,Youngstown St.,80,Chicago St.,60
422,2025,New Hampshire,53,UConn,92
423,2025,Sam Houston,91,Tarleton St.,62
424,2025,FIU,75,Southern Utah,80
425,2025,New Mexico St.,75,Utah Tech,63
426,2025,Auburn,74,Houston,69
427,2025,Pepperdine,76,UC San Diego,94
428,2025,Washington,53,Nevada,63
429,2025,Boise St.,73,San Francisco,84
430,2025,Eastern Ill.,55,Indiana,90
431,2025,App State,56,Wisconsin,87
432,2025,North Florida,105,Georgia Tech,93
433,2025,Southeast Mo. St.,76,Vanderbilt,85
434,2025,Michigan,70,Wake Forest,72
435,2025,Niagara,78,Detroit Mercy,84
436,2025,Harvard,55,American,67
437,2025,Maine,69,Brown,67
438,2025,UC Irvine,80,UNI,60
439,2025,Chatham,51,Robert Morris,79
440,2025,Princeton,79,Northeastern,76
441,2025,Eureka,53,Loyola Chicago,105
442,2025,SFA,51,Drake,66
443,2025,Binghamton,64,Miami (FL),88
444,2025,Saint Francis,65,Campbell,64
445,2025,St. Thomas (MN),71,Oklahoma St.,80
446,2025,Southeastern La.,72,UAB,82
447,2025,Mt. Marty,47,South Dakota,77
448,2025,Texas Southern,64,Georgia,92
449,2025,Avila,44,Saint Louis,95
450,2025,Tennessee St.,66,Wyoming,81
451,2025,Arizona St.,80,Gonzaga,88
452,2025,FDU,70,Creighton,96
453,2025,Alabama St.,61,LSU,74
454,2025,Pacific,94,LIFE Pacific,41
455,2025,Champion Chris.,60,UTRGV,110
456,2025,Menlo,66,Cal Poly,99
457,2025,San Jose St.,69,Hawaii,80
458,2025,Northwest Indian,44,Montana,94
459,2025,Dillard,73,Howard,91
460,2025,LIU,63,Air Force,54
461,2025,Stetson,52,The Citadel,74
462,2025,Youngstown St.,47,Ohio St.,81
463,2025,Valley Forge,61,UMBC,120
464,2025,Winthrop,52,Virginia Tech,58
465,2025,Jacksonville,69,Furman,78
466,2025,Coppin St.,45,Virginia,62
467,2025,McNeese,64,Alabama,72
468,2025,Augusta,69,Ga. Southern,79
469,2025,VTSU-Johnson,68,Central Conn. St.,117
470,2025,Western Mich.,65,Butler,85
471,2025,Gardner-Webb,64,Pittsburgh,83
472,2025,Southern Ind.,63,Marshall,77
473,2025,Taylor (IN),43,Bowling Green,107
474,2025,Saint Peter's,65,Rutgers,75
475,2025,Eastern Wash.,77,Missouri,84
476,2025,UT Martin,69,North Ala.,87
477,2025,Stony Brook,56,George Mason,94
478,2025,Buffalo,77,Notre Dame,86
479,2025,Morris,50,Charleston So.,108
480,2025,Voorhees,48,South Carolina St.,94
481,2025,Florida A&M,53,Maryland,84
482,2025,Grambling,62,Florida,86
483,2025,Alcorn,51,Tulane,84
484,2025,Chattanooga,61,Austin Peay,67
485,2025,Kansas City,56,Iowa St.,82
486,2025,Northwestern St.,57,Oklahoma,73
487,2025,Lamar University,71,Texas A&M,97
488,2025,Yale,84,Purdue,92
489,2025,UNC Greensboro,68,SMU,81
490,2025,Ark. Baptist,57,Alabama A&M,103
491,2025,Mo. Southern St.,61,Missouri St.,90
492,2025,Mercer,64,DePaul,95
493,2025,Northwest Indian,35,Montana St.,93
494,2025,Central Mich.,62,Marquette,70
495,2025,Southern Ore.,63,Idaho St.,87
496,2025,North Dakota St.,81,CSU Bakersfield,86
497,2025,Idaho,67,Washington St.,90
498,2025,LIFE Pacific,56,San Jose St.,93
499,2025,Boston U.,40,UCLA,71
500,2025,Pacific,66,Hawaii,76
501,2025,Mt. St. Mary (NY),48,Army West Point,101
502,2025,Villanova,76,Saint Joseph's,83
503,2025,Dickinson St.,54,North Dakota,85
504,2025,Dist. Columbia,64,Morgan St.,90
505,2025,Goshen,55,IU Indy,97
506,2025,Hampton,51,Providence,60
507,2025,Michigan St.,69,Kansas,77
508,2025,Cornell,77,La Salle,93
509,2025,Eastern Ky.,62,Clemson,75
510,2025,Mount Olive,73,East Carolina,110
511,2025,N.C. A&T,80,George Washington,85
512,2025,North Florida,77,Georgia,90
513,2025,Fla. Atlantic,94,UCF,100
514,2025,Loyola Maryland,68,NJIT,50
515,2025,Rider,90,Navy,79
516,2025,UMES,70,Miami (OH),88
517,2025,Lehigh,75,Columbia,76
518,2025,Delaware,64,Iona,58
519,2025,Towson,54,South Carolina,80
520,2025,CarolinaU,45,Liberty,81
521,2025,Saint Francis,62,Penn St.,92
522,2025,Tarleton St.,52,Florida St.,72
523,2025,Bethune-Cookman,69,Purdue Fort Wayne,91
524,2025,American,66,Siena,74
525,2025,Drexel,61,Temple,69
526,2025,Mercy,71,Manhattan,88
527,2025,Colgate,72,Syracuse,74
528,2025,Binghamton,63,Fordham,78
529,2025,Old Dominion,75,Radford,87
530,2025,West Ga.,73,Tennessee Tech,76
531,2025,Monmouth,66,NIU,79
532,2025,Penn,63,Lafayette,65
