year,team,conference,logo
2023,Jacksonville,ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville.svg
2023,"Jacksonville St.",ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/jacksonville-st.svg
2023,"James Madison","Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/james-madison.svg
2023,Kansas,"Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg
2023,"Kansas City","Summit League",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/umkc.svg
2023,"Kansas St.","Big 12",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg
2023,"Kennesaw St.",ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kennesaw-st.svg
2023,"Kent St.",MAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kent-st.svg
2023,Kentucky,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/kentucky.svg
2023,"La Salle","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-salle.svg
2023,Lafayette,Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lafayette.svg
2023,"Lamar University",Southland,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lamar.svg
2023,Lehigh,Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lehigh.svg
2023,Liberty,ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/liberty.svg
2023,Lindenwood,OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lindenwood-mo.svg
2023,Lipscomb,ASUN,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lipscomb.svg
2023,"Little Rock",OVC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ualr.svg
2023,LIU,NEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg
2023,"LMU (CA)",WCC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-marymount.svg
2023,"Long Beach St.","Big West",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/long-beach-st.svg
2023,Longwood,"Big South",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/longwood.svg
2023,Louisiana,"Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/la-lafayette.svg
2023,"Louisiana Tech",C-USA,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisiana-tech.svg
2023,Louisville,ACC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/louisville.svg
2023,"Loyola Chicago","Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-chicago.svg
2023,"Loyola Maryland",Patriot,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-maryland.svg
2023,LSU,SEC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/lsu.svg
2023,Maine,"America East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maine.svg
2023,Manhattan,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/manhattan.svg
2023,Marist,MAAC,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marist.svg
2023,Marquette,"Big East",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marquette.svg
2023,Marshall,"Sun Belt",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/marshall.svg
2023,Maryland,"Big Ten",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/maryland.svg
2023,Massachusetts,"Atlantic 10",https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/massachusetts.svg
