,book,team1,highest_ev,team1_ev,team1_p,team1_spread,team1_book_odds,team2,team2_ev,team2_p,team2_spread,team2_book_odds,away_fuzzy_match,home_fuzzy_match
92,draftkings,Saint Peter's,9.161793372319686,-25.43859649122806,0.2982456140350877,5.0166015625,150,Manhattan,9.161793372319686,0.7017543859649122,-5.0166015625,-180,Saint Peter's Peacocks,Manhattan Jaspers
167,draftkings,Grambling,9.150717703349276,-26.602870813397125,0.2822966507177033,8.2275390625,160,Alabama St.,9.150717703349276,0.7177033492822966,-8.2275390625,-192,Grambling St Tigers,Alabama St Hornets
20,fanduel,Wagner,8.919597989949743,-28.793969849246224,0.27386934673366836,7.41796875,160,FDU,8.919597989949743,0.7261306532663316,-7.41796875,-200,Wagner Seahawks,Fairleigh Dickinson Knights
106,draftkings,UIC,8.842061770478246,8.842061770478246,0.5574837310195228,-2.36328125,-105,Southern Ill.,-17.268697538432512,0.44251626898047725,2.36328125,-115,UIC Flames,Southern Illinois Salukis
187,fanduel,Portland St.,8.618181818181803,-16.363636363636367,0.4727272727272727,1.30615234375,-130,Eastern Wash.,8.618181818181803,0.5272727272727272,-1.30615234375,106,Portland St Vikings,Eastern Washington Eagles
255,draftkings,Grand Canyon,8.484848484848477,-10.645776242106521,0.6125541125541125,-3.0,-218,California Baptist,8.484848484848477,0.3874458874458874,3.0,180,Grand Canyon Antelopes,Cal Baptist Lancers
60,draftkings,Brown,8.474148802017666,-18.754098360655725,0.38688524590163936,5.693359375,110,Columbia,8.474148802017666,0.6131147540983607,-5.693359375,-130,Brown Bears,Columbia Lions
35,fanduel,Virginia Tech,8.472222222222229,8.472222222222229,0.28174603174603174,8.9453125,285,Notre Dame,-8.49641226353555,0.7182539682539683,-8.9453125,-365,Virginia Tech Hokies,Notre Dame Fighting Irish
188,draftkings,Portland St.,8.09090909090908,-14.909090909090914,0.4727272727272727,1.30615234375,-125,Eastern Wash.,8.09090909090908,0.5272727272727272,-1.30615234375,105,Portland St Vikings,Eastern Washington Eagles
206,draftkings,BYU,8.037190082644628,8.037190082644628,0.5144628099173554,-0.763671875,110,Cincinnati,-14.097266369993633,0.4855371900826446,0.763671875,-130,BYU Cougars,Cincinnati Bearcats
235,fanduel,Sacred Heart,7.727272727272727,-14.954448536538088,0.487012987012987,0.4404296875,-134,Fairfield,7.727272727272727,0.512987012987013,-0.4404296875,110,Sacred Heart Pioneers,Fairfield Stags
236,draftkings,Sacred Heart,7.727272727272727,-13.836163836163827,0.487012987012987,0.4404296875,-130,Fairfield,7.727272727272727,0.512987012987013,-0.4404296875,110,Sacred Heart Pioneers,Fairfield Stags
108,draftkings,Kansas,7.690032534753026,7.690032534753026,0.6853002070393375,-8.36328125,-175,Kansas St.,-22.89855072463768,0.3146997929606625,8.36328125,145,Kansas Jayhawks,Kansas St Wildcats
242,draftkings,IU Indy,7.485148514851488,7.485148514851488,0.23366336633663368,11.0625,360,Wright St.,-7.061301874868338,0.7663366336633664,-11.0625,-470,IUPUI Jaguars,Wright St Raiders
23,fanduel,Michigan,7.485148514851488,-12.340014489253797,0.5445544554455446,-2.421875,-164,Indiana,7.485148514851488,0.45544554455445546,2.421875,136,Michigan Wolverines,Indiana Hoosiers
166,draftkings,UNLV,7.38095238095238,-12.759892689470163,0.5119047619047619,-0.5634765625,-142,Wyoming,7.38095238095238,0.4880952380952381,0.5634765625,120,UNLV Rebels,Wyoming Cowboys
118,draftkings,Radford,7.190364408674256,-18.373015873015866,0.37103174603174605,4.8994140625,120,Longwood,7.190364408674256,0.628968253968254,-4.8994140625,-142,Radford Highlanders,Longwood Lancers
2,fanduel,South Carolina,7.169421487603302,7.169421487603302,0.18801652892561985,15.9501953125,470,Kentucky,-6.6824966078697425,0.8119834710743802,-15.9501953125,-670,South Carolina Gamecocks,Kentucky Wildcats
59,fanduel,Brown,7.0663078052361215,-18.754098360655725,0.38688524590163936,5.693359375,110,Columbia,7.0663078052361215,0.6131147540983607,-5.693359375,-134,Brown Bears,Columbia Lions
222,draftkings,North Dakota,7.000348142792106,-20.138828633405645,0.3383947939262473,6.916015625,136,Kansas City,7.000348142792106,0.6616052060737527,-6.916015625,-162,North Dakota Fighting Hawks,UMKC Kangaroos
72,draftkings,Marquette,6.984877126654055,6.984877126654055,0.43667296786389415,1.65625,145,Creighton,-11.477180664326212,0.5633270321361059,-1.65625,-175,Marquette Golden Eagles,Creighton Bluejays
