,date,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
377,2023-11-11,Arkansas St.,75,Bowling Green,81,Bowling Green,15.625,-6,14.625
378,2023-11-11,Georgia St.,77,Western Mich.,70,Western Mich.,6.4375,7,18.4375
379,2023-11-11,William & Mary,89,George Washington,95,George Washington,20.140625,-6,19.140625
380,2023-11-11,Cornell,78,Fordham,73,Fordham,12.875,5,22.875
381,2023-11-11,A&M-Corpus Christi,50,Houston,82,Houston,47.0,-32,20.0
382,2023-11-11,South Alabama,70,Buffalo,56,Buffalo,4.0,14,23.0
383,2023-11-11,Campbell,63,East Carolina,77,East Carolina,15.6875,-14,6.6875
384,2023-11-11,UNCW,83,UNC Asheville,66,UNC Asheville,13.125,17,35.125
385,2023-11-11,Western Caro.,71,Notre Dame,61,Notre Dame,19.328125,10,34.328125
386,2023-11-11,Old Dominion,68,Ball St.,73,Ball St.,15.71875,-5,15.71875
387,2023-11-11,North Dakota St.,60,Creighton,89,Creighton,39.03125,-29,15.03125
388,2023-11-11,St. Mary's (MD),43,Longwood,95,Longwood,23.0703125,-52,-23.9296875
389,2023-11-11,Utah Tech,81,Jacksonville St.,79,Jacksonville St.,14.421875,2,21.421875
390,2023-11-11,UIW,71,Tulsa,85,Tulsa,19.0,-14,10.0
391,2023-11-11,Cairn,65,UMES,83,UMES,1.75,-18,-11.25
392,2023-11-11,Marist,65,UMBC,59,UMBC,10.96875,6,21.96875
393,2023-11-11,Northeastern,74,La Salle,79,La Salle,17.1875,-5,17.1875
394,2023-11-11,Texas Southern,52,Arizona St.,63,Arizona St.,20.0,-11,14.0
395,2023-11-11,App State,78,NIU,91,NIU,16.0078125,-13,8.0078125
396,2023-11-11,Coppin St.,60,Mount St. Mary's,74,Mount St. Mary's,13.875,-14,4.875
397,2023-11-11,FDU,55,Seton Hall,85,Seton Hall,24.75,-30,-0.25
398,2023-11-11,Saint Peter's,75,NJIT,48,NJIT,6.8125,27,38.8125
399,2023-11-11,Canisius,70,St. Bonaventure,67,St. Bonaventure,23.3125,3,31.3125
400,2023-11-11,Southern-N.O.,69,New Orleans,106,New Orleans,9.625,-37,-22.375
401,2023-11-11,UT Martin,63,Mississippi St.,87,Mississippi St.,31.5,-24,12.5
