,year,date,team1,team1_score,team2,team2_score
292,2024,2023-11-10,Liberty,71,Charlotte,59
293,2024,2023-11-10,Biblical Stud. (TX),55,McNeese,96
294,2024,2023-11-10,Kennesaw St.,67,Florida St.,94
295,2024,2023-11-10,UMass Lowell,81,Dartmouth,48
296,2024,2023-11-10,Col. of Charleston,72,Duquesne,90
297,2024,2023-11-10,St. Joseph's (L.I.),50,Stony Brook,91
298,2024,2023-11-10,Penn,61,Saint Joseph's,69
299,2024,2023-11-10,Jacksonville,56,Xavier,79
300,2024,2023-11-10,Le Moyne,57,Villanova,83
301,2024,2023-11-10,Youngstown St.,62,Michigan,92
302,2024,2023-11-10,Chattanooga,81,Louisville,71
303,2024,2023-11-10,Austin Peay,45,George Mason,67
304,2024,2023-11-10,UCF,72,Miami (FL),88
305,2024,2023-11-10,Arizona,78,Duke,73
306,2024,2023-11-10,Princeton,74,Hofstra,67
307,2024,2023-11-10,Morehead St.,57,Purdue,87
308,2024,2023-11-10,N.C. A&T,78,UNC Greensboro,94
309,2024,2023-11-10,Texas A&M,73,Ohio St.,66
310,2024,2023-11-10,Ave Maria,71,FGCU,80
311,2024,2023-11-10,Virginia,73,Florida,70
312,2024,2023-11-10,Detroit Mercy,61,Cincinnati,93
313,2024,2023-11-10,Maryland,61,Davidson,64
314,2024,2023-11-10,Binghamton,60,Pittsburgh,89
315,2024,2023-11-10,Marshall,62,Radford,66
316,2024,2023-11-10,Boston College,75,The Citadel,71
317,2024,2023-11-10,Sacred Heart,81,Iona,88
318,2024,2023-11-10,Monmouth,73,West Virginia,65
319,2024,2023-11-10,Samford,65,VCU,75
320,2024,2023-11-10,Abilene Christian,64,NC State,84
321,2024,2023-11-10,Wilberforce,75,Eastern Ky.,133
322,2024,2023-11-10,USC Upstate,67,Vanderbilt,74
323,2024,2023-11-10,Trinity (FL),46,Bethune-Cookman,113
324,2024,2023-11-10,Southern Miss.,54,Akron,72
325,2024,2023-11-10,Tex. A&M-Commerce,61,Kentucky,81
326,2024,2023-11-10,Wake Forest,77,Georgia,80
327,2024,2023-11-10,Belmont,76,Furman,99
328,2024,2023-11-10,Boston U.,45,Rutgers,69
329,2024,2023-11-10,Troy,80,Oregon St.,81
330,2024,2023-11-10,UTSA,76,Minnesota,102
331,2024,2023-11-10,Hendrix,39,Central Ark.,82
332,2024,2023-11-10,Lehigh,65,Penn St.,74
333,2024,2023-11-10,Manhattan,61,Kansas,99
334,2024,2023-11-10,Oakland,53,Illinois,64
335,2024,2023-11-10,Alabama St.,67,Iowa,98
336,2024,2023-11-10,UTRGV,79,South Dakota,100
337,2024,2023-11-10,Nicholls,68,LSU,66
338,2024,2023-11-10,Eastern Wash.,64,Ole Miss,75
339,2024,2023-11-10,Harvard,89,Rice,76
340,2024,2023-11-10,Mid-Amer. Christian,69,Oral Roberts,74
341,2024,2023-11-10,Indiana St.,80,Alabama,102
342,2024,2023-11-10,Bellarmine,75,Kansas St.,83
343,2024,2023-11-10,Queens (NC),68,Southern Ill.,91
344,2024,2023-11-10,Mississippi Val.,43,Oklahoma,82
345,2024,2023-11-10,Grambling,63,Colorado,95
346,2024,2023-11-10,Tennessee Tech,72,Murray St.,78
347,2024,2023-11-10,Gardner-Webb,68,Arkansas,86
348,2024,2023-11-10,Southeastern La.,71,Auburn,86
349,2024,2023-11-10,Dayton,66,Northwestern,71
350,2024,2023-11-10,Southeast Mo. St.,56,Butler,91
351,2024,2023-11-10,Rider,65,Marquette,95
352,2024,2023-11-10,Temple,75,Navy,68
353,2024,2023-11-10,Little Rock,71,UIC,86
354,2024,2023-11-10,Idaho St.,53,St. Thomas (MN),54
355,2024,2023-11-10,Delaware St.,59,Texas,86
356,2024,2023-11-10,Memphis,70,Missouri,55
357,2024,2023-11-10,IUPUI,66,Valparaiso,56
358,2024,2023-11-10,Wright St.,77,Colorado St.,105
359,2024,2023-11-10,Sacramento St.,73,Stanford,91
360,2024,2023-11-10,Tennessee,80,Wisconsin,70
361,2024,2023-11-10,Montana,61,Oregon,75
362,2024,2023-11-10,San Diego St.,65,BYU,74
363,2024,2023-11-10,Yale,71,Gonzaga,86
364,2024,2023-11-10,Clemson,77,UAB,76
365,2024,2023-11-10,Virginia Tech,77,South Carolina,79
366,2024,2023-11-10,Prairie View,65,Washington St.,83
367,2024,2023-11-10,UC Riverside,53,Utah,82
368,2024,2023-11-10,Jackson St.,66,California Baptist,80
369,2024,2023-11-10,Pacific,87,California,79
370,2024,2023-11-10,Lafayette,50,UCLA,68
371,2024,2023-11-11,Texas St.,75,Miami (OH),65
372,2024,2023-11-11,Loyola Maryland,77,Brown,75
373,2024,2023-11-11,ULM,74,Central Mich.,64
374,2024,2023-11-11,Stonehill,67,UConn,107
375,2024,2023-11-11,Ga. Southern,60,Eastern Mich.,70
376,2024,2023-11-11,High Point,98,Wofford,99
377,2024,2023-11-11,Arkansas St.,75,Bowling Green,81
378,2024,2023-11-11,Georgia St.,77,Western Mich.,70
379,2024,2023-11-11,William & Mary,89,George Washington,95
380,2024,2023-11-11,Cornell,78,Fordham,73
381,2024,2023-11-11,A&M-Corpus Christi,50,Houston,82
382,2024,2023-11-11,South Alabama,70,Buffalo,56
383,2024,2023-11-11,Campbell,63,East Carolina,77
